entry_ts,market,side,qty,entry_trigger_cents,entry_fill_cents_assumed,entry_fill_cents_actual,entry_fill_cents_used,entry_fee_cents,total_fees_dollars,entry_notional_dollars,exit_ts,exit_trigger_cents,exit_fill_cents_assumed,exit_fill_cents_actual,exit_fill_cents_used,exit_fee_cents,exit_notional_dollars,outcome,resolution_source,result,gross_pnl_dollars,net_pnl_dollars,net_pnl_percent,gross_pnl_percent,market_status,market_result,settlement_ts
2026-04-23 16:05:38,KXBTC15M-26APR231615-15,yes,2,90,90,,90,0,0.0,1.8,,,,,,0,,win,kalshi_api,yes,0.2,0.2,11.1111,11.1111,finalized,yes,2026-04-23T20:15:14.066835Z
2026-04-23 16:23:12,KXBTC15M-26APR231630-30,no,2,90,90,,90,0,0.0,1.8,,,,,,0,,win,kalshi_api,no,0.2,0.2,11.1111,11.1111,finalized,no,2026-04-23T20:30:14.223068Z
2026-04-23 16:33:17,KXBTC15M-26APR231645-45,yes,2,90,90,,90,0,0.0,1.8,,,,,,0,,win,kalshi_api,yes,0.2,0.2,11.1111,11.1111,finalized,yes,2026-04-23T20:45:14.925712Z
2026-04-23 16:53:11,KXBTC15M-26APR231700-00,no,2,90,90,,90,0,0.0,1.8,,,,,,0,,win,kalshi_api,no,0.2,0.2,11.1111,11.1111,finalized,no,2026-04-23T21:00:14.219899Z
2026-04-23 17:20:48,KXBTC15M-26APR231730-30,no,2,91,91,,91,0,0.0,1.82,,,,,,0,,loss,kalshi_api,yes,-1.82,-1.82,-100.0,-100.0,finalized,yes,2026-04-23T21:30:14.825929Z
2026-04-23 17:33:30,KXBTC15M-26APR231745-45,yes,2,90,90,,90,0,0.0,1.8,,,,,,0,,win,kalshi_api,yes,0.2,0.2,11.1111,11.1111,finalized,yes,2026-04-23T21:45:14.118583Z
2026-04-23 17:54:18,KXBTC15M-26APR231800-00,no,2,93,93,,93,0,0.0,1.86,,,,,,0,,win,kalshi_api,no,0.14,0.14,7.5269,7.5269,finalized,no,2026-04-23T22:00:14.171537Z
2026-04-23 18:05:45,KXBTC15M-26APR231815-15,yes,2,90,90,,90,0,0.0,1.8,,,,,,0,,win,kalshi_api,yes,0.2,0.2,11.1111,11.1111,finalized,yes,2026-04-23T22:15:14.468754Z
2026-04-23 18:19:29,KXBTC15M-26APR231830-30,yes,2,93,93,,93,0,0.0,1.86,,,,,,0,,win,kalshi_api,yes,0.14,0.14,7.5269,7.5269,finalized,yes,2026-04-23T22:30:14.368327Z
2026-04-23 18:41:34,KXBTC15M-26APR231845-45,yes,2,90,90,,90,0,0.0,1.8,,,,,,0,,win,kalshi_api,yes,0.2,0.2,11.1111,11.1111,finalized,yes,2026-04-23T22:45:14.169105Z
2026-04-23 18:56:54,KXBTC15M-26APR231900-00,no,2,90,90,,90,0,0.0,1.8,,,,,,0,,win,kalshi_api,no,0.2,0.2,11.1111,11.1111,finalized,no,2026-04-23T23:00:14.322577Z
2026-04-23 19:09:34,KXBTC15M-26APR231915-15,no,2,90,90,,90,0,0.0,1.8,,,,,,0,,win,kalshi_api,no,0.2,0.2,11.1111,11.1111,finalized,no,2026-04-23T23:15:14.069359Z
2026-04-23 19:27:41,KXBTC15M-26APR231930-30,yes,2,90,91,,91,0,0.0,1.82,,,,,,0,,win,kalshi_api,yes,0.18,0.18,9.8901,9.8901,finalized,yes,2026-04-23T23:30:14.220884Z
2026-04-23 19:38:34,KXBTC15M-26APR231945-45,yes,2,90,90,,90,0,0.0,1.8,,,,,,0,,win,kalshi_api,yes,0.2,0.2,11.1111,11.1111,finalized,yes,2026-04-23T23:45:14.566449Z
2026-04-23 20:09:24,KXBTC15M-26APR232015-15,yes,2,91,92,,92,0,0.0,1.84,,,,,,0,,win,kalshi_api,yes,0.16,0.16,8.6957,8.6957,finalized,yes,2026-04-24T00:15:14.121799Z
2026-04-23 20:20:21,KXBTC15M-26APR232030-30,yes,2,92,92,,92,0,0.0,1.84,,,,,,0,,win,kalshi_api,yes,0.16,0.16,8.6957,8.6957,finalized,yes,2026-04-24T00:30:14.567835Z
2026-04-23 20:37:21,KXBTC15M-26APR232045-45,yes,2,93,93,,93,0,0.0,1.86,,,,,,0,,loss,kalshi_api,no,-1.86,-1.86,-100.0,-100.0,finalized,no,2026-04-24T00:45:14.076774Z
2026-04-23 20:49:45,KXBTC15M-26APR232100-00,yes,2,90,91,,91,0,0.0,1.82,,,,,,0,,loss,kalshi_api,no,-1.82,-1.82,-100.0,-100.0,finalized,no,2026-04-24T01:00:14.220902Z
2026-04-23 21:05:01,KXBTC15M-26APR232115-15,no,2,90,90,,90,0,0.0,1.8,,,,,,0,,win,kalshi_api,no,0.2,0.2,11.1111,11.1111,finalized,no,2026-04-24T01:15:14.174113Z
2026-04-23 21:21:05,KXBTC15M-26APR232130-30,no,2,90,90,,90,0,0.0,1.8,,,,,,0,,win,kalshi_api,no,0.2,0.2,11.1111,11.1111,finalized,no,2026-04-24T01:30:14.077259Z
2026-04-23 21:40:32,KXBTC15M-26APR232145-45,yes,2,93,93,,93,0,0.0,1.86,,,,,,0,,loss,kalshi_api,no,-1.86,-1.86,-100.0,-100.0,finalized,no,2026-04-24T01:45:14.771167Z
2026-04-23 21:47:37,KXBTC15M-26APR232200-00,yes,2,90,90,,90,0,0.0,1.8,,,,,,0,,win,kalshi_api,yes,0.2,0.2,11.1111,11.1111,finalized,yes,2026-04-24T02:00:14.222693Z
2026-04-23 22:03:41,KXBTC15M-26APR232215-15,yes,2,91,91,,91,0,0.0,1.82,,,,,,0,,loss,kalshi_api,no,-1.82,-1.82,-100.0,-100.0,finalized,no,2026-04-24T02:15:15.124185Z
2026-04-23 22:21:34,KXBTC15M-26APR232230-30,no,2,90,90,,90,0,0.0,1.8,,,,,,0,,win,kalshi_api,no,0.2,0.2,11.1111,11.1111,finalized,no,2026-04-24T02:30:14.221571Z
2026-04-23 22:38:42,KXBTC15M-26APR232245-45,yes,2,90,90,,90,0,0.0,1.8,,,,,,0,,win,kalshi_api,yes,0.2,0.2,11.1111,11.1111,finalized,yes,2026-04-24T02:45:14.09541Z
2026-04-23 22:51:24,KXBTC15M-26APR232300-00,no,2,92,92,,92,0,0.0,1.84,,,,,,0,,win,kalshi_api,no,0.16,0.16,8.6957,8.6957,finalized,no,2026-04-24T03:00:14.221393Z
2026-04-23 23:18:42,KXBTC15M-26APR232330-30,no,2,90,90,,90,0,0.0,1.8,,,,,,0,,win,kalshi_api,no,0.2,0.2,11.1111,11.1111,finalized,no,2026-04-24T03:30:14.124695Z
2026-04-23 23:32:19,KXBTC15M-26APR232345-45,no,2,93,93,,93,0,0.0,1.86,,,,,,0,,win,kalshi_api,no,0.14,0.14,7.5269,7.5269,finalized,no,2026-04-24T03:45:14.219888Z
2026-04-23 23:51:11,KXBTC15M-26APR240000-00,yes,2,90,90,,90,0,0.0,1.8,,,,,,0,,win,kalshi_api,yes,0.2,0.2,11.1111,11.1111,finalized,yes,2026-04-24T04:00:35.774625Z
2026-04-24 00:10:59,KXBTC15M-26APR240015-15,no,2,90,90,,90,0,0.0,1.8,,,,,,0,,win,kalshi_api,no,0.2,0.2,11.1111,11.1111,finalized,no,2026-04-24T04:15:14.071334Z
2026-04-24 07:52:41,KXBTC15M-26APR240800-00,no,2,90,90,,90,0,0.0,1.8,,,,,,0,,win,kalshi_api,no,0.2,0.2,11.1111,11.1111,finalized,no,2026-04-24T12:00:14.069042Z
2026-04-24 08:27:52,KXBTC15M-26APR240830-30,no,2,90,90,,90,0,0.0,1.8,,,,,,0,,win,kalshi_api,no,0.2,0.2,11.1111,11.1111,finalized,no,2026-04-24T12:30:14.070728Z
2026-04-24 08:37:30,KXBTC15M-26APR240845-45,no,2,92,92,,92,0,0.0,1.84,,,,,,0,,win,kalshi_api,no,0.16,0.16,8.6957,8.6957,finalized,no,2026-04-24T12:45:14.068913Z
2026-04-24 08:52:12,KXBTC15M-26APR240900-00,no,2,90,90,,90,0,0.0,1.8,,,,,,0,,loss,kalshi_api,yes,-1.8,-1.8,-100.0,-100.0,finalized,yes,2026-04-24T13:00:14.117513Z
2026-04-24 09:05:14,KXBTC15M-26APR240915-15,yes,2,90,90,,90,0,0.0,1.8,,,,,,0,,win,kalshi_api,yes,0.2,0.2,11.1111,11.1111,finalized,yes,2026-04-24T13:15:14.116707Z
2026-04-24 09:23:52,KXBTC15M-26APR240930-30,no,2,90,90,,90,0,0.0,1.8,,,,,,0,,win,kalshi_api,no,0.2,0.2,11.1111,11.1111,finalized,no,2026-04-24T13:30:14.069965Z
2026-04-24 09:42:29,KXBTC15M-26APR240945-45,no,2,90,90,,90,0,0.0,1.8,,,,,,0,,win,kalshi_api,no,0.2,0.2,11.1111,11.1111,finalized,no,2026-04-24T13:45:14.07154Z
2026-04-24 09:53:13,KXBTC15M-26APR241000-00,no,2,90,90,,90,0,0.0,1.8,,,,,,0,,win,kalshi_api,no,0.2,0.2,11.1111,11.1111,finalized,no,2026-04-24T14:00:14.071542Z
2026-04-24 10:03:01,KXBTC15M-26APR241015-15,no,2,90,90,,90,0,0.0,1.8,,,,,,0,,win,kalshi_api,no,0.2,0.2,11.1111,11.1111,finalized,no,2026-04-24T14:15:14.072989Z
2026-04-24 10:25:51,KXBTC15M-26APR241030-30,no,2,90,90,,90,0,0.0,1.8,,,,,,0,,win,kalshi_api,no,0.2,0.2,11.1111,11.1111,finalized,no,2026-04-24T14:30:14.071036Z
2026-04-24 10:35:21,KXBTC15M-26APR241045-45,yes,2,90,90,,90,0,0.0,1.8,,,,,,0,,win,kalshi_api,yes,0.2,0.2,11.1111,11.1111,finalized,yes,2026-04-24T14:45:14.076059Z
2026-04-24 10:58:17,KXBTC15M-26APR241100-00,yes,2,92,92,,92,0,0.0,1.84,,,,,,0,,win,kalshi_api,yes,0.16,0.16,8.6957,8.6957,finalized,yes,2026-04-24T15:00:24.071188Z
2026-04-24 11:04:35,KXBTC15M-26APR241115-15,no,2,91,91,,91,0,0.0,1.82,,,,,,0,,win,kalshi_api,no,0.18,0.18,9.8901,9.8901,finalized,no,2026-04-24T15:15:14.070882Z
2026-04-24 11:23:20,KXBTC15M-26APR241130-30,yes,2,90,90,,90,0,0.0,1.8,,,,,,0,,win,kalshi_api,yes,0.2,0.2,11.1111,11.1111,finalized,yes,2026-04-24T15:30:14.071248Z
2026-04-24 11:39:43,KXBTC15M-26APR241145-45,no,2,90,90,,90,0,0.0,1.8,,,,,,0,,loss,kalshi_api,yes,-1.8,-1.8,-100.0,-100.0,finalized,yes,2026-04-24T15:45:14.070194Z
2026-04-24 11:45:31,KXBTC15M-26APR241200-00,yes,2,93,93,,93,0,0.0,1.86,,,,,,0,,win,kalshi_api,yes,0.14,0.14,7.5269,7.5269,finalized,yes,2026-04-24T16:00:24.069903Z
2026-04-24 12:08:00,KXBTC15M-26APR241215-15,no,2,90,90,,90,0,0.0,1.8,,,,,,0,,win,kalshi_api,no,0.2,0.2,11.1111,11.1111,finalized,no,2026-04-25T01:08:49.864373Z
2026-04-24 23:27:30,KXBTC15M-26APR242330-30,no,2,93,93,,93,0,0.0,1.86,,,,,,0,,win,kalshi_api,no,0.14,0.14,7.5269,7.5269,finalized,no,2026-04-25T03:30:09.92974Z
2026-04-24 23:35:53,KXBTC15M-26APR242345-45,yes,2,90,90,,90,0,0.0,1.8,,,,,,0,,win,kalshi_api,yes,0.2,0.2,11.1111,11.1111,finalized,yes,2026-04-25T03:45:09.930091Z
2026-04-24 23:55:25,KXBTC15M-26APR250000-00,no,2,91,91,,91,0,0.0,1.82,,,,,,0,,win,kalshi_api,no,0.18,0.18,9.8901,9.8901,finalized,no,2026-04-25T04:00:09.92565Z
2026-04-25 00:10:37,KXBTC15M-26APR250015-15,yes,2,92,92,,92,0,0.0,1.84,,,,,,0,,win,kalshi_api,yes,0.16,0.16,8.6957,8.6957,finalized,yes,2026-04-25T04:15:09.939079Z
2026-04-25 00:24:08,KXBTC15M-26APR250030-30,no,2,93,93,,93,0,0.0,1.86,,,,,,0,,win,kalshi_api,no,0.14,0.14,7.5269,7.5269,finalized,no,2026-04-25T04:30:09.938315Z
