market,result,status,settlement_ts,close_time,watch_close_time,watch_status,first_seen_ts,last_seen_ts,heartbeat_count,source
KXBTC15M-26APR251315-15,no,finalized,2026-04-25T17:15:09.866475Z,2026-04-25T17:15:00Z,2026-04-25T17:15:00Z,active,2026-04-25 13:00:14,2026-04-25 13:15:11,120,kalshi_api
KXBTC15M-26APR251330-30,no,finalized,2026-04-25T17:30:09.867253Z,2026-04-25T17:30:00Z,2026-04-25T17:30:00Z,active,2026-04-25 13:15:14,2026-04-25 13:30:28,122,kalshi_api
KXBTC15M-26APR251345-45,no,finalized,2026-04-25T17:45:09.869086Z,2026-04-25T17:45:00Z,2026-04-25T17:45:00Z,active,2026-04-25 13:30:29,2026-04-25 13:45:15,118,kalshi_api
KXBTC15M-26APR251400-00,no,finalized,2026-04-25T18:00:09.869426Z,2026-04-25T18:00:00Z,2026-04-25T18:00:00Z,active,2026-04-25 13:45:29,2026-04-25 14:00:17,120,kalshi_api
KXBTC15M-26APR251415-15,yes,finalized,2026-04-25T18:15:09.873127Z,2026-04-25T18:15:00Z,2026-04-25T18:15:00Z,active,2026-04-25 14:00:29,2026-04-25 14:15:05,118,kalshi_api
KXBTC15M-26APR251430-30,yes,finalized,2026-04-25T18:30:09.872095Z,2026-04-25T18:30:00Z,2026-04-25T18:30:00Z,active,2026-04-25 14:15:14,2026-04-25 14:30:06,120,kalshi_api
KXBTC15M-26APR251445-45,yes,finalized,2026-04-25T18:45:09.86842Z,2026-04-25T18:45:00Z,2026-04-25T18:45:00Z,active,2026-04-25 14:30:14,2026-04-25 14:45:07,120,kalshi_api
KXBTC15M-26APR251500-00,no,finalized,2026-04-25T19:00:09.870113Z,2026-04-25T19:00:00Z,2026-04-25T19:00:00Z,active,2026-04-25 14:45:13,2026-04-25 15:00:24,122,kalshi_api
KXBTC15M-26APR251515-15,yes,finalized,2026-04-25T19:15:09.868465Z,2026-04-25T19:15:00Z,2026-04-25T19:15:00Z,active,2026-04-25 15:00:29,2026-04-25 15:15:26,120,kalshi_api
KXBTC15M-26APR251530-30,no,finalized,2026-04-25T19:30:09.867023Z,2026-04-25T19:30:00Z,2026-04-25T19:30:00Z,active,2026-04-25 15:15:29,2026-04-25 15:30:13,118,kalshi_api
KXBTC15M-26APR251545-45,no,finalized,2026-04-25T19:45:09.877337Z,2026-04-25T19:45:00Z,2026-04-25T19:45:00Z,active,2026-04-25 15:30:14,2026-04-25 15:45:00,118,kalshi_api
KXBTC15M-26APR251600-00,yes,finalized,2026-04-25T20:00:09.866521Z,2026-04-25T20:00:00Z,2026-04-25T20:00:00Z,active,2026-04-25 15:45:14,2026-04-25 16:00:17,122,kalshi_api
KXBTC15M-26APR251615-15,yes,finalized,2026-04-25T20:15:09.870413Z,2026-04-25T20:15:00Z,2026-04-25T20:15:00Z,active,2026-04-25 16:00:29,2026-04-25 16:15:19,120,kalshi_api
KXBTC15M-26APR251630-30,yes,finalized,2026-04-25T20:30:09.865227Z,2026-04-25T20:30:00Z,2026-04-25T20:30:00Z,active,2026-04-25 16:15:29,2026-04-25 16:30:22,120,kalshi_api
KXBTC15M-26APR251645-45,no,finalized,2026-04-25T20:45:09.971282Z,2026-04-25T20:45:00Z,2026-04-25T20:45:00Z,active,2026-04-25 16:30:29,2026-04-25 16:45:09,118,kalshi_api
KXBTC15M-26APR251700-00,yes,finalized,2026-04-25T21:00:09.92927Z,2026-04-25T21:00:00Z,2026-04-25T21:00:00Z,active,2026-04-25 16:45:14,2026-04-25 17:00:26,122,kalshi_api
KXBTC15M-26APR251715-15,yes,finalized,2026-04-25T21:15:09.866553Z,2026-04-25T21:15:00Z,2026-04-25T21:15:00Z,active,2026-04-25 17:00:29,2026-04-25 17:15:28,120,kalshi_api
KXBTC15M-26APR251730-30,no,finalized,2026-04-25T21:30:09.871246Z,2026-04-25T21:30:00Z,2026-04-25T21:30:00Z,active,2026-04-25 17:15:29,2026-04-25 17:30:30,120,kalshi_api
KXBTC15M-26APR251745-45,no,finalized,2026-04-25T21:45:09.868033Z,2026-04-25T21:45:00Z,2026-04-25T21:45:00Z,active,2026-04-25 17:30:44,2026-04-25 17:45:02,116,kalshi_api
KXBTC15M-26APR251800-00,yes,finalized,2026-04-25T22:00:09.869214Z,2026-04-25T22:00:00Z,2026-04-25T22:00:00Z,active,2026-04-25 17:45:13,2026-04-25 18:00:04,120,kalshi_api
KXBTC15M-26APR251815-15,yes,finalized,2026-04-25T22:15:09.958597Z,2026-04-25T22:15:00Z,2026-04-25T22:15:00Z,active,2026-04-25 18:00:14,2026-04-25 18:15:21,122,kalshi_api
KXBTC15M-26APR251830-30,yes,finalized,2026-04-25T22:30:09.86825Z,2026-04-25T22:30:00Z,2026-04-25T22:30:00Z,active,2026-04-25 18:15:29,2026-04-25 18:30:38,122,kalshi_api
KXBTC15M-26APR251845-45,yes,finalized,2026-04-25T22:45:09.923079Z,2026-04-25T22:45:00Z,2026-04-25T22:45:00Z,active,2026-04-25 18:30:44,2026-04-25 18:45:10,116,kalshi_api
KXBTC15M-26APR251900-00,no,finalized,2026-04-25T23:00:09.871516Z,2026-04-25T23:00:00Z,2026-04-25T23:00:00Z,active,2026-04-25 18:45:14,2026-04-25 19:00:12,120,kalshi_api
KXBTC15M-26APR251915-15,yes,finalized,2026-04-25T23:15:09.866369Z,2026-04-25T23:15:00Z,2026-04-25T23:15:00Z,active,2026-04-25 19:00:13,2026-04-25 19:15:15,120,kalshi_api
KXBTC15M-26APR251930-30,yes,finalized,2026-04-25T23:30:09.86915Z,2026-04-25T23:30:00Z,2026-04-25T23:30:00Z,active,2026-04-25 19:15:29,2026-04-25 19:30:16,120,kalshi_api
KXBTC15M-26APR251945-45,yes,finalized,2026-04-25T23:45:09.919915Z,2026-04-25T23:45:00Z,2026-04-25T23:45:00Z,active,2026-04-25 19:30:29,2026-04-25 19:45:03,118,kalshi_api
