market,result,status,settlement_ts,close_time,watch_close_time,watch_status,first_seen_ts,last_seen_ts,heartbeat_count,source
KXBTC15M-26APR052315-15,no,finalized,2026-04-06T03:15:13.485245Z,2026-04-06T03:15:00Z,2026-04-06T03:15:00Z,active,2026-04-05 23:00:36,2026-04-05 23:15:29,60,kalshi_api
KXBTC15M-26APR052330-30,yes,finalized,2026-04-06T03:30:13.490268Z,2026-04-06T03:30:00Z,2026-04-06T03:30:00Z,active,2026-04-05 23:15:36,2026-04-05 23:30:16,59,kalshi_api
KXBTC15M-26APR052345-45,no,finalized,2026-04-06T03:45:13.699107Z,2026-04-06T03:45:00Z,2026-04-06T03:45:00Z,active,2026-04-05 23:30:21,2026-04-05 23:45:09,59,kalshi_api
KXBTC15M-26APR060000-00,no,finalized,2026-04-06T04:00:24.850103Z,2026-04-06T04:00:00Z,2026-04-06T04:00:00Z,active,2026-04-05 23:45:21,2026-04-06 00:00:10,60,kalshi_api
KXBTC15M-26APR060015-15,no,finalized,2026-04-06T04:15:13.649445Z,2026-04-06T04:15:00Z,2026-04-06T04:15:00Z,active,2026-04-06 00:00:21,2026-04-06 00:15:27,61,kalshi_api
KXBTC15M-26APR060030-30,no,finalized,2026-04-06T04:30:13.48512Z,2026-04-06T04:30:00Z,2026-04-06T04:30:00Z,active,2026-04-06 00:15:36,2026-04-06 00:30:05,58,kalshi_api
KXBTC15M-26APR060045-45,yes,finalized,2026-04-06T04:45:13.544902Z,2026-04-06T04:45:00Z,2026-04-06T04:45:00Z,active,2026-04-06 00:30:06,2026-04-06 00:45:16,61,kalshi_api
KXBTC15M-26APR060100-00,no,finalized,2026-04-06T05:00:13.685105Z,2026-04-06T05:00:00Z,2026-04-06T05:00:00Z,active,2026-04-06 00:45:21,2026-04-06 01:00:18,60,kalshi_api
KXBTC15M-26APR060115-15,yes,finalized,2026-04-06T05:15:13.739211Z,2026-04-06T05:15:00Z,2026-04-06T05:15:00Z,active,2026-04-06 01:00:21,2026-04-06 01:15:34,61,kalshi_api
KXBTC15M-26APR060130-30,no,finalized,2026-04-06T05:30:13.540337Z,2026-04-06T05:30:00Z,2026-04-06T05:30:00Z,active,2026-04-06 01:15:36,2026-04-06 01:30:06,58,kalshi_api
