row_id,market_ticker,decision_ts_utc,market_close_ts_utc,source_type,source_reason,source_quality_tier,side,allowed_for_training,allowed_for_validation,allowed_for_holdout,allowed_for_forward_promotion,target_y_yes_win,target_v28_p_yes,target_brier_yes,target_logloss_yes,row_is_posthoc,row_is_simulated,v28_logit_yes,v28_p_yes_centered,v28_abs_logit_yes,v28_side_probability,seconds_to_close,minutes_to_close,time_frac_15m,late_window_lte_180s,final_avg_effective_horizon_minutes,final_avg_variance_compression,final_avg_uncertainty_scale,final_avg_elapsed_window_fraction,final_avg_sigma_proxy_dollars,final_avg_d_sigma_proxy,final_avg_abs_d_sigma_proxy,sigma_t_dollars,log1p_sigma_t_dollars,sigma_t_missing,recross_hazard_score,recross_hazard_missing,recross_hazard_high,ask_cents,ask_missing,ask_frac,edge_cents,edge_missing,side_is_yes,source_is_entry,source_is_rejected_actionable
de028eeb12ca76958711ff70,KXBTC15M-26MAY060315-15,2026-05-06T03:00:15.275Z,2026-05-06T03:15:00Z,rejected_actionable,p_below_floor,rejected_actionable_from_posthoc_calibration_report,no,True,True,False,False,1.0,0.512365,0.23778789322500005,0.6687180173034487,1,1,0.049470086499981226,0.01236499999999996,0.049470086499981226,0.487635,884.725,14.745416666666667,0.9830277777777778,0,13.745416666666667,0.9321823165390376,0.965495891518466,0.0,87.29617611596092,0.0,0.0,90.415896,4.515419380187338,0,0.8579434902231481,0,1,51.0,0,0.51,-6.236496,0,0,0,1
3a24f3ab59d3e048b1a316e4,KXBTC15M-26MAY060315-15,2026-05-06T03:00:15.275Z,2026-05-06T03:15:00Z,rejected_actionable,p_below_floor,rejected_actionable_from_posthoc_calibration_report,yes,True,True,False,False,1.0,0.512365,0.23778789322500005,0.6687180173034487,1,1,0.049470086499981226,0.01236499999999996,0.049470086499981226,0.512365,884.725,14.745416666666667,0.9830277777777778,0,13.745416666666667,0.9321823165390376,0.965495891518466,0.0,87.29617611596092,0.0,0.0,90.415896,4.515419380187338,0,0.8579434902231481,0,1,50.0,0,0.5,-2.763504,0,1,0,1
2a3d42396f3de482f385f986,KXBTC15M-26MAY060315-15,2026-05-06T03:08:58.724Z,2026-05-06T03:15:00Z,rejected_actionable,edge_below_floor,rejected_actionable_from_posthoc_calibration_report,yes,True,True,False,False,1.0,0.854395,0.021200816024999996,0.1573616628532551,1,1,1.7694961402965828,0.354395,1.7694961402965828,0.854395,361.276,6.0212666666666665,0.40141777777777776,0,5.0212666666666665,0.8339219876216521,0.9131932914896234,0.0,54.33140377525741,0.0,0.0,59.496061,4.102578255479198,0,0.16313611677854487,0,0,81.0,0,0.81,0.939489,0,1,0,1
5c8d204fc9efa29b8b9b6215,KXBTC15M-26MAY060315-15,2026-05-06T03:11:07.567Z,2026-05-06T03:15:00Z,rejected_actionable,ask_too_high,rejected_actionable_from_posthoc_calibration_report,yes,True,True,False,False,1.0,0.936967,0.0039731590890000005,0.0651072161472619,1,1,2.6989896640598534,0.436967,2.6989896640598534,0.936967,232.433,3.873883333333333,0.25825888888888887,0,2.873883333333333,0.7418610954554645,0.8613135871768566,0.0,40.22516017020097,0.0,0.0,46.702108,3.8649755897899367,0,0.06793633522292644,0,0,92.0,0,0.92,-1.303338,0,1,0,1
8a78753b6d026dc4b7ed0a05,KXBTC15M-26MAY060330-30,2026-05-06T03:27:36.114Z,2026-05-06T03:30:00Z,entry,approved_entry,approved_entry_from_posthoc_calibration_report,no,True,True,False,False,1.0,0.00021199999999998997,0.999576044944,8.458924283292308,1,0,-8.458712260817132,-0.499788,8.458712260817132,0.999788,143.886,2.3981,0.15987333333333334,1,1.3981,0.5830032108752763,0.7635464693620659,0.0,29.01335098415078,0.0,0.0,37.998147,3.6635141321803637,0,0.002807203427908955,0,0,9.0,0,0.09,87.978808,0,0,1,0
50a0b99c99d7b4d48c59eed2,KXBTC15M-26MAY060330-30,2026-05-06T03:23:07.901Z,2026-05-06T03:30:00Z,entry,approved_entry,approved_entry_from_posthoc_calibration_report,yes,True,True,False,False,1.0,0.908265,0.008415310225000002,0.09621909274057054,1,0,2.2926322004108837,0.408265,2.2926322004108837,0.908265,412.099,6.868316666666667,0.4578877777777778,0,5.868316666666667,0.8544039175052597,0.9243397197487835,0.0,59.13432114410315,0.0,0.0,63.974662,4.173997378513254,0,0.14812412666257624,0,0,79.0,0,0.79,8.32655,0,1,1,0
e6dcdaa253fe01eb83363703,KXBTC15M-26MAY060330-30,2026-05-06T03:15:15.854Z,2026-05-06T03:30:00Z,rejected_actionable,p_below_floor,rejected_actionable_from_posthoc_calibration_report,no,True,True,False,False,1.0,0.36912,0.3980095744,0.9966334845566935,1,1,-0.5359938757038736,-0.13088,0.5359938757038736,0.63088,884.146,14.735766666666667,0.9823844444444444,0,13.735766666666667,0.9321379048256736,0.9654728918129569,0.0,89.49645416900614,0.0,0.0,92.697014,4.540066321073838,0,0.6892796561237851,0,1,57.0,0,0.57,2.087981,0,0,0,1
28e2982fb25cf80d84bfe836,KXBTC15M-26MAY060330-30,2026-05-06T03:15:15.854Z,2026-05-06T03:30:00Z,rejected_actionable,p_below_floor,rejected_actionable_from_posthoc_calibration_report,yes,True,True,False,False,1.0,0.36912,0.3980095744,0.9966334845566935,1,1,-0.5359938757038736,-0.13088,0.5359938757038736,0.36912,884.146,14.735766666666667,0.9823844444444444,0,13.735766666666667,0.9321379048256736,0.9654728918129569,0.0,89.49645416900614,0.0,0.0,92.697014,4.540066321073838,0,0.6892796561237851,0,1,44.0,0,0.44,-11.087981,0,1,0,1
78925ca417be717d241b119a,KXBTC15M-26MAY060330-30,2026-05-06T03:22:44.508Z,2026-05-06T03:30:00Z,rejected_actionable,edge_below_floor,rejected_actionable_from_posthoc_calibration_report,yes,True,True,False,False,1.0,0.859785,0.019660246224999994,0.1510729209897929,1,1,1.8135053991006125,0.359785,1.8135053991006125,0.859785,435.492,7.2582,0.48388000000000003,0,6.2582,0.8622247940260671,0.9285606033135733,0.0,59.80912331033477,0.0,0.0,64.410576,4.180683957927316,0,0.18890150993490956,0,0,82.0,0,0.82,0.478465,0,1,0,1
f304910eaae2271fc77e2cc2,KXBTC15M-26MAY060330-30,2026-05-06T03:27:36.109Z,2026-05-06T03:30:00Z,rejected_actionable,ask_too_high,rejected_actionable_from_posthoc_calibration_report,yes,True,True,False,False,1.0,0.90662,0.008719824400000003,0.09803188027309524,1,1,2.2730462091662504,0.40662,2.2730462091662504,0.90662,143.891,2.3981833333333333,0.15987888888888888,1,1.3981833333333333,0.5830177008985968,0.7635559579353676,0.0,29.082764478965757,0.0,0.0,38.088583,3.665830429467603,0,0.05249307856333413,0,0,92.0,0,0.92,-4.338025,0,1,0,1
05eb7ecc3481bde3a0f51944,KXBTC15M-26MAY060345-45,2026-05-06T03:33:39.940Z,2026-05-06T03:45:00Z,entry,approved_entry,approved_entry_from_posthoc_calibration_report,no,True,True,False,False,0.0,0.10606899999999997,0.011250632760999994,0.11212668799529926,1,0,-2.1315387652503013,-0.39393100000000003,2.1315387652503013,0.893931,680.06,11.334333333333332,0.7556222222222222,0,10.334333333333332,0.9117724906625886,0.9548677870064466,0.0,83.52553474453308,0.0,0.0,87.473403,4.482701975771924,0,0.2784612767640184,0,1,78.0,0,0.78,7.893144,0,0,1,0
daa8dde4427688b59362d180,KXBTC15M-26MAY060345-45,2026-05-06T03:30:31.158Z,2026-05-06T03:45:00Z,rejected_actionable,p_below_floor,rejected_actionable_from_posthoc_calibration_report,no,True,True,False,False,0.0,0.5151049999999999,0.26533316102499993,0.7238229063284065,1,1,0.060438390723735795,0.015104999999999924,0.060438390723735795,0.484895,868.842,14.4807,0.96538,0,13.4807,0.9309425649312534,0.9648536494884876,0.0,95.41615948260714,0.0,0.0,98.891847,4.604088070712487,0,0.9112189011273799,0,1,63.0,0,0.63,-18.510544,0,0,0,1
c1b64020a34d1ee218330caa,KXBTC15M-26MAY060345-45,2026-05-06T03:38:52.585Z,2026-05-06T03:45:00Z,rejected_actionable,ask_too_high,rejected_actionable_from_posthoc_calibration_report,no,True,True,False,False,0.0,0.04831799999999997,0.0023346291239999973,0.04952433360587131,1,1,-2.9804267833348037,-0.45168200000000003,2.9804267833348037,0.951682,367.415,6.123583333333333,0.40823888888888893,0,5.123583333333333,0.8366969230978594,0.9147113878693428,0.0,57.51648311874102,0.0,0.0,62.879378,4.156996586292519,0,0.0993267546450175,0,0,95.0,0,0.95,-2.331848,0,0,0,1
