row_id,dataset_role,source_file,source_line_or_offset,source_type,source_reason,source_quality_tier,market_ticker,market_close_ts_utc,decision_ts_utc,decision_ts_basis,side,side_or_axis,strike,strike_source,seconds_to_close,v28_p_side,v28_p_yes,v28_p_no,v28_fair_yes_cents,v28_fair_no_cents,v28_side_outcome,y_yes_win,brier_side,brier_yes,logloss_yes,bucket,actionable,edge_cents,ask_cents,sigma_t_dollars,recross_hazard_score,h6_recross_hazard_high,gross_cents,is_pre_resolution,is_pre_resolution_registered,is_recomputed_after_resolution,is_backfilled,is_simulated,is_sidecar,is_diagnostic_only,allowed_for_training,allowed_for_validation,allowed_for_holdout,allowed_for_forward_promotion,exclusion_reason
368e0645ca2a003482918fe0,causal_seed_from_v28_forward_calibration,logs/edge_research/v28_forward_calibration_latest.csv,22,rejected_actionable,edge_below_floor,rejected_actionable_from_posthoc_calibration_report,KXBTC15M-26MAY051530-30,2026-05-05T15:30:00Z,2026-05-05T15:17:39.413Z,market_close_minus_seconds_to_close,yes,side=yes,,missing_in_forward_calibration_seed,740.587,0.869958,0.869958,0.130042,86.9958,13.004199999999999,1.0,1.0,0.016910921763999998,0.016910921763999998,0.13931034436089354,85_90,True,-0.004182,84.0,115.477463,0.4102167400169905,True,32.0,True,False,True,False,True,False,True,True,True,False,False,rejected_actionable_posthoc_not_promotion_source
57e01563c71f2870ee9b9945,causal_seed_from_v28_forward_calibration,logs/edge_research/v28_forward_calibration_latest.csv,23,rejected_actionable,ask_too_high,rejected_actionable_from_posthoc_calibration_report,KXBTC15M-26MAY051530-30,2026-05-05T15:30:00Z,2026-05-05T15:17:48.134Z,market_close_minus_seconds_to_close,yes,side=yes,,missing_in_forward_calibration_seed,731.866,0.876104,0.876104,0.123896,87.6104,12.389600000000002,1.0,1.0,0.015350218816,0.015350218816,0.13227047363139335,85_90,True,-6.389595,91.0,114.798926,0.39485142634945497,True,18.0,True,False,True,False,True,False,True,True,True,False,False,rejected_actionable_posthoc_not_promotion_source
5e7708b5967a037f00555b37,causal_seed_from_v28_forward_calibration,logs/edge_research/v28_forward_calibration_latest.csv,24,entry,approved_entry,approved_entry_from_posthoc_calibration_report,KXBTC15M-26MAY051545-45,2026-05-05T15:45:00Z,2026-05-05T15:33:58.969Z,market_close_minus_seconds_to_close,yes,side=yes,,missing_in_forward_calibration_seed,661.031,0.851935,0.851935,0.148065,85.1935,14.8065,1.0,1.0,0.021923244225,0.021923244225,0.160245046142946,85_90,True,6.693536,75.0,107.31608,0.38190335478068066,True,16.0,True,False,True,False,False,False,True,True,True,False,False,posthoc_calibration_report_not_forward_registry
bc0704bceedaf613fa41381a,causal_seed_from_v28_forward_calibration,logs/edge_research/v28_forward_calibration_latest.csv,25,rejected_actionable,p_below_floor,rejected_actionable_from_posthoc_calibration_report,KXBTC15M-26MAY051545-45,2026-05-05T15:45:00Z,2026-05-05T15:30:16.381Z,market_close_minus_seconds_to_close,no,side=no,,missing_in_forward_calibration_seed,883.619,0.578163,0.421837,0.578163,42.1837,57.8163,0.0,1.0,0.33427245456899995,0.33427245456899995,0.8631362954863299,50_60,True,-6.183698,60.0,124.177788,1.048993079759358,True,-120.0,True,False,True,False,True,False,True,True,True,False,False,rejected_actionable_posthoc_not_promotion_source
6985cd8c0c037439de7d4364,causal_seed_from_v28_forward_calibration,logs/edge_research/v28_forward_calibration_latest.csv,26,rejected_actionable,p_below_floor,rejected_actionable_from_posthoc_calibration_report,KXBTC15M-26MAY051545-45,2026-05-05T15:45:00Z,2026-05-05T15:30:16.381Z,market_close_minus_seconds_to_close,yes,side=yes,,missing_in_forward_calibration_seed,883.619,0.421837,0.421837,0.578163,42.1837,57.8163,1.0,1.0,0.33427245456899995,0.33427245456899995,0.8631362954863299,00_50,True,-2.816302,41.0,124.177788,1.048993079759358,True,118.0,True,False,True,False,True,False,True,True,True,False,False,rejected_actionable_posthoc_not_promotion_source
69f5cc7749c3a228d9f41465,causal_seed_from_v28_forward_calibration,logs/edge_research/v28_forward_calibration_latest.csv,27,rejected_actionable,edge_below_floor,rejected_actionable_from_posthoc_calibration_report,KXBTC15M-26MAY051545-45,2026-05-05T15:45:00Z,2026-05-05T15:33:58.779Z,market_close_minus_seconds_to_close,yes,side=yes,,missing_in_forward_calibration_seed,661.221,0.872659,0.872659,0.12734100000000004,87.2659,12.734100000000003,1.0,1.0,0.01621573028100001,0.01621573028100001,0.13621040655130756,85_90,True,0.265936,84.0,107.341766,0.3551487064873567,True,32.0,True,False,True,False,True,False,True,True,True,False,False,rejected_actionable_posthoc_not_promotion_source
274d286fea6a3958f328ff4c,causal_seed_from_v28_forward_calibration,logs/edge_research/v28_forward_calibration_latest.csv,28,rejected_actionable,ask_too_high,rejected_actionable_from_posthoc_calibration_report,KXBTC15M-26MAY051545-45,2026-05-05T15:45:00Z,2026-05-05T15:41:16.404Z,market_close_minus_seconds_to_close,yes,side=yes,,missing_in_forward_calibration_seed,223.596,0.817358,0.817358,0.18264199999999997,81.7358,18.264199999999995,1.0,1.0,0.03335810016399999,0.03335810016399999,0.20167809160418426,80_85,True,-12.264248,91.0,63.624848,0.14911729681905075,False,18.0,True,False,True,False,True,False,True,True,True,False,False,rejected_actionable_posthoc_not_promotion_source
dd9414603f8bf707f63146a2,causal_seed_from_v28_forward_calibration,logs/edge_research/v28_forward_calibration_latest.csv,29,rejected_actionable,p_below_floor,rejected_actionable_from_posthoc_calibration_report,KXBTC15M-26MAY051600-00,2026-05-05T16:00:00Z,2026-05-05T15:45:43.656Z,market_close_minus_seconds_to_close,no,side=no,,missing_in_forward_calibration_seed,856.344,0.547953,0.452047,0.547953,45.204699999999995,54.795300000000005,1.0,0.0,0.20434649020899998,0.20434649020899998,0.6015657621356292,50_60,True,4.795259,46.0,123.420469,1.1138511194482563,True,108.0,True,False,True,False,True,False,True,True,True,False,False,rejected_actionable_posthoc_not_promotion_source
9b28f6377467d73ddd0d9df5,causal_seed_from_v28_forward_calibration,logs/edge_research/v28_forward_calibration_latest.csv,30,rejected_actionable,edge_below_floor,rejected_actionable_from_posthoc_calibration_report,KXBTC15M-26MAY051600-00,2026-05-05T16:00:00Z,2026-05-05T15:51:42.842Z,market_close_minus_seconds_to_close,no,side=no,,missing_in_forward_calibration_seed,497.158,0.856473,0.14352699999999996,0.856473,14.352699999999995,85.6473,1.0,0.0,0.02059999972899999,0.02059999972899999,0.15493248535757492,85_90,True,-4.352705,87.0,92.85475,0.289172991956024,True,26.0,True,False,True,False,True,False,True,True,True,False,False,rejected_actionable_posthoc_not_promotion_source
6b7e878751dbe8aa0f71406c,causal_seed_from_v28_forward_calibration,logs/edge_research/v28_forward_calibration_latest.csv,31,rejected_actionable,ask_too_high,rejected_actionable_from_posthoc_calibration_report,KXBTC15M-26MAY051600-00,2026-05-05T16:00:00Z,2026-05-05T15:52:06.104Z,market_close_minus_seconds_to_close,no,side=no,,missing_in_forward_calibration_seed,473.896,0.890702,0.109298,0.890702,10.9298,89.0702,1.0,0.0,0.011946052804,0.011946052804,0.11574536312188755,85_90,True,-4.929792,91.0,90.911715,0.23735823174242957,False,18.0,True,False,True,False,True,False,True,True,True,False,False,rejected_actionable_posthoc_not_promotion_source
af08b571c7e8bce497b6d55c,causal_seed_from_v28_forward_calibration,logs/edge_research/v28_forward_calibration_latest.csv,32,rejected_actionable,p_below_floor,rejected_actionable_from_posthoc_calibration_report,KXBTC15M-26MAY051600-00,2026-05-05T16:00:00Z,2026-05-05T15:45:43.656Z,market_close_minus_seconds_to_close,yes,side=yes,,missing_in_forward_calibration_seed,856.344,0.452047,0.452047,0.547953,45.204699999999995,54.795300000000005,0.0,0.0,0.20434649020899998,0.20434649020899998,0.6015657621356292,00_50,True,-13.795259,55.0,123.420469,1.1138511194482563,True,-110.0,True,False,True,False,True,False,True,True,True,False,False,rejected_actionable_posthoc_not_promotion_source
