pt_cents,sl_cents,trades,skipped,total_net_pnl_dollars,actual_net_pnl_dollars,delta_vs_actual_dollars,mean_net_pnl_dollars,std_net_pnl_dollars,sharpe_like,wins,losses,win_rate,exit_count,settlement_count,exit_rate,avg_hold_seconds
14,4,95,0,-4.7,-7.83,3.13,-0.049474,0.410613,-0.120487,21,74,0.2211,72,23,0.7579,127.18
37,16,95,0,-4.71,-7.83,3.12,-0.049579,0.528289,-0.093848,25,70,0.2632,28,67,0.2947,294.3
36,15,95,0,-4.71,-7.83,3.12,-0.049579,0.520257,-0.095297,25,70,0.2632,28,67,0.2947,293.8
19,15,95,0,-4.71,-7.83,3.12,-0.049579,0.506343,-0.097916,27,68,0.2842,37,58,0.3895,258.88
15,57,95,0,-4.72,-7.83,3.11,-0.049684,0.69852,-0.071128,38,57,0.4,37,58,0.3895,300.07
17,27,95,0,-4.73,-7.83,3.1,-0.049789,0.57646,-0.086371,32,63,0.3368,38,57,0.4,280.29
34,15,95,0,-4.73,-7.83,3.1,-0.049789,0.519971,-0.095754,25,70,0.2632,28,67,0.2947,293.8
35,15,95,0,-4.73,-7.83,3.1,-0.049789,0.519971,-0.095754,25,70,0.2632,28,67,0.2947,293.8
13,12,95,0,-4.73,-7.83,3.1,-0.049789,0.476659,-0.104455,27,68,0.2842,47,48,0.4947,216.38
17,31,95,0,-4.75,-7.83,3.08,-0.05,0.600312,-0.08329,33,62,0.3474,38,57,0.4,283.24
39,16,95,0,-4.75,-7.83,3.08,-0.05,0.541851,-0.092276,24,71,0.2526,27,68,0.2842,296.26
40,16,95,0,-4.75,-7.83,3.08,-0.05,0.541851,-0.092276,24,71,0.2526,27,68,0.2842,296.26
17,28,95,0,-4.76,-7.83,3.07,-0.050105,0.576955,-0.086844,32,63,0.3368,38,57,0.4,280.36
37,5,95,0,-4.77,-7.83,3.06,-0.05021,0.439364,-0.11428,19,76,0.2,59,36,0.6211,169.47
18,64,95,0,-4.78,-7.83,3.05,-0.050316,0.761522,-0.066073,38,57,0.4,34,61,0.3579,316.74
15,58,95,0,-4.78,-7.83,3.05,-0.050316,0.700131,-0.071866,38,57,0.4,37,58,0.3895,300.08
39,5,95,0,-4.78,-7.83,3.05,-0.050316,0.455415,-0.110483,18,77,0.1895,59,36,0.6211,170.22
40,5,95,0,-4.78,-7.83,3.05,-0.050316,0.455415,-0.110483,18,77,0.1895,59,36,0.6211,170.22
16,23,95,0,-4.79,-7.83,3.04,-0.050421,0.547295,-0.092128,31,64,0.3263,39,56,0.4105,271.57
17,16,95,0,-4.79,-7.83,3.04,-0.050421,0.506111,-0.099624,28,67,0.2947,38,57,0.4,255.28
13,14,95,0,-4.8,-7.83,3.03,-0.050526,0.485422,-0.104087,28,67,0.2947,44,51,0.4632,233.24
21,11,95,0,-4.81,-7.83,3.02,-0.050632,0.479532,-0.105585,24,71,0.2526,46,49,0.4842,225.37
29,17,95,0,-4.82,-7.83,3.01,-0.050737,0.534326,-0.094955,26,69,0.2737,29,66,0.3053,291.05
30,17,95,0,-4.82,-7.83,3.01,-0.050737,0.534326,-0.094955,26,69,0.2737,29,66,0.3053,291.05
31,17,95,0,-4.82,-7.83,3.01,-0.050737,0.534326,-0.094955,26,69,0.2737,29,66,0.3053,291.05
32,17,95,0,-4.82,-7.83,3.01,-0.050737,0.534326,-0.094955,26,69,0.2737,29,66,0.3053,291.05
33,17,95,0,-4.82,-7.83,3.01,-0.050737,0.534326,-0.094955,26,69,0.2737,29,66,0.3053,291.05
29,11,95,0,-4.82,-7.83,3.01,-0.050737,0.486396,-0.104312,23,72,0.2421,40,55,0.4211,241.8
30,11,95,0,-4.82,-7.83,3.01,-0.050737,0.486396,-0.104312,23,72,0.2421,40,55,0.4211,241.8
31,11,95,0,-4.82,-7.83,3.01,-0.050737,0.486396,-0.104312,23,72,0.2421,40,55,0.4211,241.8
32,11,95,0,-4.82,-7.83,3.01,-0.050737,0.486396,-0.104312,23,72,0.2421,40,55,0.4211,241.8
33,11,95,0,-4.82,-7.83,3.01,-0.050737,0.486396,-0.104312,23,72,0.2421,40,55,0.4211,241.8
18,6,95,0,-4.83,-7.83,3.0,-0.050842,0.430911,-0.117987,22,73,0.2316,60,35,0.6316,165.84
13,5,95,0,-4.83,-7.83,3.0,-0.050842,0.419862,-0.121092,22,73,0.2316,66,29,0.6947,140.12
21,6,95,0,-4.85,-7.83,2.98,-0.051053,0.437017,-0.116821,21,74,0.2211,60,35,0.6316,168.58
17,45,95,0,-4.86,-7.83,2.97,-0.051158,0.680836,-0.07514,36,59,0.3789,37,58,0.3895,300.79
17,46,95,0,-4.86,-7.83,2.97,-0.051158,0.680836,-0.07514,36,59,0.3789,37,58,0.3895,300.79
13,4,95,0,-4.86,-7.83,2.97,-0.051158,0.409233,-0.125009,21,74,0.2211,72,23,0.7579,121.53
17,47,95,0,-4.88,-7.83,2.95,-0.051368,0.68113,-0.075416,36,59,0.3789,37,58,0.3895,300.8
20,11,95,0,-4.88,-7.83,2.95,-0.051368,0.478745,-0.107298,24,71,0.2526,46,49,0.4842,224.41
16,59,95,0,-4.89,-7.83,2.94,-0.051474,0.725437,-0.070955,38,57,0.4,36,59,0.3789,306.26
28,17,95,0,-4.89,-7.83,2.94,-0.051474,0.533132,-0.09655,26,69,0.2737,30,65,0.3158,289.0
