entry_ts,exit_ts,market,side,entry_price_cents,exit_price_cents,entry_fee_cents,exit_fee_cents,net_pnl_cents,net_pnl_dollars,exit_reason,settlement_exit,hold_seconds,pt_cents,sl_cents,max_hold_seconds,sim_expected_net_cents,sim_sharpe_like,entry_fair_side_cents,entry_z_cents,entry_seconds_to_close
2026-05-07T18:35:11.672719+00:00,2026-05-07T18:43:13.701805+00:00,KXBTC15M-26MAY071445-45,no,36.0,43.0,2.0,2.0,3.0,0.03,max_hold,False,482.029,8.0,55.0,480.0,3.1282,0.739337,46.2953,8.2953,588.327
2026-05-07T19:50:12.680680+00:00,2026-05-07T19:50:32.677860+00:00,KXBTC15M-26MAY071600-00,no,49.0,58.0,2.0,2.0,5.0,0.05,take_profit,False,19.997,8.0,55.0,480.0,4.0,999.0,64.0246,14.0246,587.319
2026-05-07T21:36:11.099541+00:00,2026-05-07T21:44:30.032550+00:00,KXBTC15M-26MAY071745-45,yes,37.0,35.0,2.0,2.0,-6.0,-0.06,max_hold,False,498.933,18.0,35.0,480.0,12.0,999.0,61.3605,-25.3605,528.902
2026-05-07T22:11:43.845248+00:00,2026-05-07T22:11:51.709621+00:00,KXBTC15M-26MAY071815-15,yes,16.0,35.0,1.0,2.0,16.0,0.16,take_profit,False,7.864,12.0,55.0,480.0,9.8811,4.156757,33.7749,-8.2749,196.156
2026-05-08T00:25:10.105627+00:00,2026-05-08T00:25:16.105832+00:00,KXBTC15M-26MAY072030-30,no,8.0,43.0,1.0,2.0,32.0,0.32,take_profit,False,6.0,12.0,35.0,480.0,10.0,999.0,38.1681,11.1681,289.894
2026-05-08T00:50:12.016209+00:00,2026-05-08T00:50:21.803743+00:00,KXBTC15M-26MAY072100-00,yes,16.0,37.0,1.0,2.0,18.0,0.18,take_profit,False,9.788,5.0,55.0,480.0,3.0,999.0,34.7554,-8.2554,587.985
2026-05-08T01:20:13.100624+00:00,2026-05-08T01:20:33.135188+00:00,KXBTC15M-26MAY072130-30,no,31.0,73.0,2.0,2.0,38.0,0.38,take_profit,False,20.035,25.0,55.0,480.0,21.0,999.0,78.2586,27.2586,586.9
2026-05-08T01:35:04.802326+00:00,2026-05-08T01:35:10.395910+00:00,KXBTC15M-26MAY072145-45,no,26.0,51.0,2.0,2.0,21.0,0.21,take_profit,False,5.594,25.0,55.0,480.0,21.0,999.0,98.559,60.059,595.2
2026-05-08T01:50:02.122777+00:00,2026-05-08T01:50:15.648055+00:00,KXBTC15M-26MAY072200-00,no,62.0,98.0,2.0,1.0,33.0,0.33,take_profit,False,13.525,25.0,55.0,480.0,17.4683,1.295791,99.5,19.5,597.882
2026-05-08T02:05:28.862425+00:00,2026-05-08T02:13:40.059674+00:00,KXBTC15M-26MAY072215-15,yes,8.0,8.0,1.0,1.0,-2.0,-0.02,max_hold,False,491.197,25.0,55.0,480.0,23.0,999.0,43.8972,-35.8972,571.139
