pt_cents,sl_cents,trades,skipped,total_net_pnl_dollars,actual_net_pnl_dollars,delta_vs_actual_dollars,mean_net_pnl_dollars,std_net_pnl_dollars,sharpe_like,wins,losses,win_rate,exit_count,settlement_count,exit_rate,avg_hold_seconds
36,18,95,0,-4.92,-7.83,2.91,-0.051789,0.508127,-0.101922,25,70,0.2632,28,67,0.2947,294.64
19,18,95,0,-4.92,-7.83,2.91,-0.051789,0.493871,-0.104864,27,68,0.2842,37,58,0.3895,259.73
34,15,95,0,-4.92,-7.83,2.91,-0.051789,0.492259,-0.105208,24,71,0.2526,29,66,0.3053,291.71
35,15,95,0,-4.92,-7.83,2.91,-0.051789,0.492259,-0.105208,24,71,0.2526,29,66,0.3053,291.71
13,12,95,0,-4.92,-7.83,2.91,-0.051789,0.446266,-0.116051,26,69,0.2737,48,47,0.5053,214.29
34,18,95,0,-4.94,-7.83,2.89,-0.052,0.507833,-0.102396,25,70,0.2632,28,67,0.2947,294.64
35,18,95,0,-4.94,-7.83,2.89,-0.052,0.507833,-0.102396,25,70,0.2632,28,67,0.2947,294.64
18,66,95,0,-4.95,-7.83,2.88,-0.052105,0.764614,-0.068146,38,57,0.4,32,63,0.3368,320.29
18,67,95,0,-4.95,-7.83,2.88,-0.052105,0.764614,-0.068146,38,57,0.4,32,63,0.3368,320.29
18,68,95,0,-4.95,-7.83,2.88,-0.052105,0.764614,-0.068146,38,57,0.4,32,63,0.3368,320.29
18,69,95,0,-4.95,-7.83,2.88,-0.052105,0.764614,-0.068146,38,57,0.4,32,63,0.3368,320.29
18,70,95,0,-4.95,-7.83,2.88,-0.052105,0.764614,-0.068146,38,57,0.4,32,63,0.3368,320.29
18,71,95,0,-4.95,-7.83,2.88,-0.052105,0.764614,-0.068146,38,57,0.4,32,63,0.3368,320.29
18,72,95,0,-4.95,-7.83,2.88,-0.052105,0.764614,-0.068146,38,57,0.4,32,63,0.3368,320.29
14,56,95,0,-4.96,-7.83,2.87,-0.05221,0.696099,-0.075004,38,57,0.4,39,56,0.4105,296.21
19,29,95,0,-4.96,-7.83,2.87,-0.05221,0.58181,-0.089738,31,64,0.3263,37,58,0.3895,285.81
20,20,95,0,-4.96,-7.83,2.87,-0.05221,0.530211,-0.098471,28,67,0.2947,37,58,0.3895,271.24
38,17,95,0,-4.96,-7.83,2.87,-0.05221,0.516894,-0.101008,24,71,0.2526,27,68,0.2842,296.47
18,65,95,0,-4.97,-7.83,2.86,-0.052316,0.76516,-0.068372,38,57,0.4,34,61,0.3579,317.11
6,20,95,0,-4.98,-7.83,2.85,-0.052421,0.395245,-0.132629,38,57,0.4,45,50,0.4737,211.47
14,57,95,0,-4.99,-7.83,2.84,-0.052526,0.696893,-0.075372,38,57,0.4,39,56,0.4105,296.22
16,25,95,0,-4.99,-7.83,2.84,-0.052526,0.544868,-0.096402,31,64,0.3263,39,56,0.4105,272.85
13,14,95,0,-4.99,-7.83,2.84,-0.052526,0.45561,-0.115288,27,68,0.2842,45,50,0.4737,231.15
13,23,95,0,-5.0,-7.83,2.83,-0.052632,0.513375,-0.102521,31,64,0.3263,41,54,0.4316,257.69
16,60,95,0,-5.01,-7.83,2.82,-0.052737,0.728717,-0.072369,38,57,0.4,36,59,0.3789,306.72
16,61,95,0,-5.01,-7.83,2.82,-0.052737,0.728717,-0.072369,38,57,0.4,36,59,0.3789,306.72
16,62,95,0,-5.01,-7.83,2.82,-0.052737,0.728717,-0.072369,38,57,0.4,36,59,0.3789,306.72
19,22,95,0,-5.01,-7.83,2.82,-0.052737,0.531732,-0.099179,29,66,0.3053,37,58,0.3895,277.58
15,21,95,0,-5.01,-7.83,2.82,-0.052737,0.516458,-0.102113,30,65,0.3158,39,56,0.4105,261.49
18,32,95,0,-5.02,-7.83,2.81,-0.052842,0.610928,-0.086495,33,62,0.3474,38,57,0.4,284.97
12,16,95,0,-5.02,-7.83,2.81,-0.052842,0.451338,-0.117079,29,66,0.3053,41,54,0.4316,236.75
15,17,95,0,-5.03,-7.83,2.8,-0.052947,0.483702,-0.109463,28,67,0.2947,39,56,0.4105,251.75
14,58,95,0,-5.05,-7.83,2.78,-0.053158,0.698505,-0.076102,38,57,0.4,39,56,0.4105,296.23
15,30,95,0,-5.06,-7.83,2.77,-0.053263,0.579524,-0.091908,33,62,0.3474,39,56,0.4105,277.58
18,49,95,0,-5.07,-7.83,2.76,-0.053368,0.691236,-0.077207,36,59,0.3789,36,59,0.3789,304.09
16,44,95,0,-5.07,-7.83,2.76,-0.053368,0.66244,-0.080563,36,59,0.3789,39,56,0.4105,295.15
6,13,95,0,-5.07,-7.83,2.76,-0.053368,0.357591,-0.149244,35,60,0.3684,50,45,0.5263,193.01
18,73,95,0,-5.08,-7.83,2.75,-0.053474,0.768603,-0.069573,38,57,0.4,32,63,0.3368,321.14
18,33,95,0,-5.08,-7.83,2.75,-0.053474,0.612021,-0.087372,33,62,0.3474,38,57,0.4,284.98
17,64,95,0,-5.09,-7.83,2.74,-0.053579,0.759459,-0.070549,38,57,0.4,34,61,0.3579,314.41
29,29,95,0,-5.09,-7.83,2.74,-0.053579,0.607854,-0.088144,29,66,0.3053,26,69,0.2737,324.21
30,29,95,0,-5.09,-7.83,2.74,-0.053579,0.607854,-0.088144,29,66,0.3053,26,69,0.2737,324.21
31,29,95,0,-5.09,-7.83,2.74,-0.053579,0.607854,-0.088144,29,66,0.3053,26,69,0.2737,324.21
32,29,95,0,-5.09,-7.83,2.74,-0.053579,0.607854,-0.088144,29,66,0.3053,26,69,0.2737,324.21
33,29,95,0,-5.09,-7.83,2.74,-0.053579,0.607854,-0.088144,29,66,0.3053,26,69,0.2737,324.21
38,15,95,0,-5.09,-7.83,2.74,-0.053579,0.503234,-0.106469,23,72,0.2421,28,67,0.2947,293.82
9,12,95,0,-5.09,-7.83,2.74,-0.053579,0.407013,-0.131639,29,66,0.3053,48,47,0.5053,201.95
16,63,95,0,-5.1,-7.83,2.73,-0.053684,0.731238,-0.073415,38,57,0.4,36,59,0.3789,306.72
18,74,95,0,-5.11,-7.83,2.72,-0.053789,0.769525,-0.0699,38,57,0.4,32,63,0.3368,321.35
38,18,95,0,-5.11,-7.83,2.72,-0.053789,0.518478,-0.103745,24,71,0.2526,27,68,0.2842,296.75
18,50,95,0,-5.12,-7.83,2.71,-0.053895,0.692421,-0.077835,36,59,0.3789,36,59,0.3789,304.1
18,51,95,0,-5.12,-7.83,2.71,-0.053895,0.692421,-0.077835,36,59,0.3789,36,59,0.3789,304.1
20,57,95,0,-5.13,-7.83,2.7,-0.054,0.743653,-0.072614,36,59,0.3789,31,64,0.3263,321.02
19,23,95,0,-5.13,-7.83,2.7,-0.054,0.53354,-0.101211,29,66,0.3053,37,58,0.3895,277.81
12,12,95,0,-5.13,-7.83,2.7,-0.054,0.424967,-0.127069,27,68,0.2842,48,47,0.5053,210.74
