entry_ts,exit_ts,market,side,entry_price_cents,exit_price_cents,entry_fee_cents,exit_fee_cents,net_pnl_cents,net_pnl_dollars,exit_reason,settlement_exit,hold_seconds,pt_cents,sl_cents,max_hold_seconds,sim_expected_net_cents,sim_sharpe_like,entry_fair_side_cents,entry_z_cents,entry_seconds_to_close
2026-05-04T22:56:26.761014+00:00,2026-05-04T22:56:33.796671+00:00,KXBTC15M-26MAY041900-00,yes,23.0,0.0,2.0,0.0,-25.0,-0.25,settlement_after_tape,True,7.036,25.0,55.0,240.0,19.9333,8.631387,46.9333,-24.4333,213.239
2026-05-05T02:24:52.513017+00:00,2026-05-05T02:24:52.513017+00:00,KXBTC15M-26MAY042230-30,yes,85.0,100.0,1.0,0.0,14.0,0.14,settlement_after_tape,True,0.0,25.0,55.0,240.0,21.8,5.454551,99.5,-15.0,307.528
2026-05-05T02:35:37.426329+00:00,2026-05-05T02:35:37.426329+00:00,KXBTC15M-26MAY042245-45,yes,77.0,100.0,2.0,0.0,21.0,0.21,settlement_after_tape,True,0.0,25.0,55.0,240.0,20.0,999.0,99.5,-23.0,562.667
2026-05-05T07:42:50.726889+00:00,2026-05-05T07:42:50.726889+00:00,KXBTC15M-26MAY050345-45,yes,54.0,0.0,2.0,0.0,-56.0,-0.56,settlement_after_tape,True,0.0,25.0,55.0,480.0,11.8667,0.466243,83.4004,-17.9004,129.273
2026-05-05T09:25:38.734761+00:00,2026-05-05T09:25:38.734761+00:00,KXBTC15M-26MAY050530-30,yes,10.0,0.0,1.0,0.0,-11.0,-0.11,settlement_after_tape,True,0.0,25.0,55.0,240.0,18.2667,0.967372,35.8167,-25.3167,261.33
2026-05-05T12:53:45.585520+00:00,2026-05-05T12:55:51.097207+00:00,KXBTC15M-26MAY050900-00,yes,17.0,0.0,1.0,0.0,-18.0,-0.18,settlement_after_tape,True,125.512,25.0,55.0,480.0,15.5333,0.769214,44.023,-28.023,374.425
2026-05-05T18:39:16.011743+00:00,2026-05-05T18:44:50.002992+00:00,KXBTC15M-26MAY051445-45,yes,37.0,38.0,2.0,2.0,-3.0,-0.03,last_bid_after_tape,False,333.991,25.0,55.0,480.0,4.8,0.149242,47.5887,-10.0887,343.988
2026-05-05T21:14:10.061599+00:00,2026-05-05T21:14:50.071981+00:00,KXBTC15M-26MAY051715-15,yes,15.0,0.0,1.0,0.0,-16.0,-0.16,settlement_after_tape,True,40.01,25.0,55.0,480.0,21.2625,3.150085,41.5387,-19.5387,49.939
2026-05-05T23:53:18.238127+00:00,2026-05-05T23:59:50.008265+00:00,KXBTC15M-26MAY052000-00,yes,36.0,0.0,2.0,0.0,-38.0,-0.38,settlement_after_tape,True,391.77,25.0,55.0,480.0,20.0183,4.215959,55.5951,-13.0951,401.762
2026-05-06T03:40:32.242292+00:00,2026-05-06T03:44:50.019194+00:00,KXBTC15M-26MAY052345-45,yes,44.0,0.0,2.0,0.0,-46.0,-0.46,settlement_after_tape,True,257.777,25.0,55.0,480.0,19.1786,4.192499,81.5913,-38.0913,267.759
2026-05-06T04:08:55.739681+00:00,2026-05-06T04:14:50.014247+00:00,KXBTC15M-26MAY060015-15,yes,38.0,0.0,2.0,0.0,-40.0,-0.4,settlement_after_tape,True,354.275,25.0,55.0,480.0,20.5731,6.848114,60.1318,-12.6318,364.262
2026-05-06T04:37:41.344142+00:00,2026-05-06T04:44:50.059012+00:00,KXBTC15M-26MAY060045-45,yes,23.0,0.0,2.0,0.0,-25.0,-0.25,settlement_after_tape,True,428.715,25.0,35.0,480.0,21.0,999.0,40.8441,-16.8441,438.657
2026-05-06T04:53:46.853725+00:00,2026-05-06T04:59:50.119577+00:00,KXBTC15M-26MAY060100-00,yes,24.0,0.0,2.0,0.0,-26.0,-0.26,settlement_after_tape,True,363.266,25.0,55.0,480.0,19.9896,55.351792,41.4776,-17.9776,373.146
2026-05-06T05:07:25.361490+00:00,2026-05-06T05:14:50.023647+00:00,KXBTC15M-26MAY060115-15,yes,23.0,0.0,2.0,0.0,-25.0,-0.25,settlement_after_tape,True,444.662,25.0,55.0,480.0,19.997,192.856443,46.4171,-23.9171,454.64
2026-05-06T05:43:17.679902+00:00,2026-05-06T05:44:50.096889+00:00,KXBTC15M-26MAY060145-45,yes,1.0,0.0,1.0,0.0,-2.0,-0.02,settlement_after_tape,True,92.417,25.0,55.0,480.0,23.0,999.0,31.7719,-30.7719,102.321
2026-05-06T06:12:11.487977+00:00,2026-05-06T06:14:50.075967+00:00,KXBTC15M-26MAY060215-15,yes,8.0,0.0,1.0,0.0,-9.0,-0.09,settlement_after_tape,True,158.588,25.0,55.0,480.0,21.9182,9.258241,46.9517,-39.4517,168.512
2026-05-06T07:52:38.819183+00:00,2026-05-06T07:59:50.042095+00:00,KXBTC15M-26MAY060400-00,yes,17.0,0.0,1.0,0.0,-18.0,-0.18,settlement_after_tape,True,431.223,25.0,55.0,480.0,20.1833,1.977023,49.2684,-32.7684,441.193
2026-05-06T11:41:37.271618+00:00,2026-05-06T11:44:50.172246+00:00,KXBTC15M-26MAY060745-45,yes,23.0,0.0,2.0,0.0,-25.0,-0.25,settlement_after_tape,True,192.901,25.0,55.0,480.0,20.5206,4.441604,48.9476,-15.9476,202.729
2026-05-06T12:09:05.534045+00:00,2026-05-06T12:14:50.053018+00:00,KXBTC15M-26MAY060815-15,yes,5.0,0.0,1.0,0.0,-6.0,-0.06,settlement_after_tape,True,344.519,25.0,55.0,480.0,22.9844,42.419006,43.5292,-38.5292,354.466
2026-05-06T12:55:00.835317+00:00,2026-05-06T12:59:50.111886+00:00,KXBTC15M-26MAY060900-00,yes,40.0,0.0,2.0,0.0,-42.0,-0.42,settlement_after_tape,True,289.277,25.0,55.0,480.0,20.6822,5.583547,57.4112,-17.4112,299.165
2026-05-06T13:06:52.803355+00:00,2026-05-06T13:14:50.161571+00:00,KXBTC15M-26MAY060915-15,yes,31.0,0.0,2.0,0.0,-33.0,-0.33,settlement_after_tape,True,477.358,25.0,55.0,480.0,17.4666,2.141207,40.9445,-10.9445,487.197
2026-05-06T13:37:43.259416+00:00,2026-05-06T13:44:49.992140+00:00,KXBTC15M-26MAY060945-45,yes,31.0,0.0,2.0,0.0,-33.0,-0.33,settlement_after_tape,True,426.733,25.0,55.0,480.0,19.4663,4.367722,48.289,-17.789,436.781
2026-05-06T13:50:04.389218+00:00,2026-05-06T13:55:04.472543+00:00,KXBTC15M-26MAY061000-00,yes,20.0,0.0,2.0,0.0,-22.0,-0.22,settlement_after_tape,True,300.083,25.0,55.0,480.0,20.8405,7.646983,47.0157,-21.0157,595.611
2026-05-06T15:11:07.436187+00:00,2026-05-06T15:14:50.017872+00:00,KXBTC15M-26MAY061115-15,yes,31.0,0.0,2.0,0.0,-33.0,-0.33,settlement_after_tape,True,222.582,25.0,55.0,480.0,13.1076,0.925612,49.3536,-8.3536,232.566
2026-05-06T16:51:19.092029+00:00,2026-05-06T16:52:24.372328+00:00,KXBTC15M-26MAY061300-00,yes,74.0,0.0,2.0,0.0,-76.0,-0.76,settlement_after_tape,True,65.28,25.0,55.0,480.0,14.2974,1.507133,81.5831,-9.0831,520.908
2026-05-06T17:56:25.334571+00:00,2026-05-06T17:59:53.750201+00:00,KXBTC15M-26MAY061400-00,yes,8.0,0.0,1.0,0.0,-9.0,-0.09,settlement_after_tape,True,208.416,25.0,55.0,480.0,22.0737,3.364621,99.5,-88.5,214.667
2026-05-06T18:10:46.220289+00:00,2026-05-06T18:13:31.614553+00:00,KXBTC15M-26MAY061415-15,yes,15.0,0.0,1.0,0.0,-16.0,-0.16,settlement_after_tape,True,165.394,25.0,55.0,480.0,23.0,999.0,47.9573,-32.9573,253.781
2026-05-06T19:26:28.838631+00:00,2026-05-06T19:29:50.053260+00:00,KXBTC15M-26MAY061530-30,yes,40.0,100.0,2.0,0.0,58.0,0.58,settlement_after_tape,True,201.215,25.0,55.0,480.0,19.5933,2.088652,59.6524,-13.6524,211.162
2026-05-06T21:13:31.989988+00:00,2026-05-06T21:14:50.160157+00:00,KXBTC15M-26MAY061715-15,yes,0.0,0.0,1.0,0.0,-1.0,-0.01,settlement_after_tape,True,78.17,25.0,55.0,480.0,22.3739,3.970846,21.4647,-21.4647,88.01
2026-05-06T23:13:21.655422+00:00,2026-05-06T23:14:50.031821+00:00,KXBTC15M-26MAY061915-15,yes,0.0,0.0,1.0,0.0,-1.0,-0.01,settlement_after_tape,True,88.376,25.0,55.0,480.0,20.2013,2.163319,11.0354,-11.0354,98.345
2026-05-06T23:37:50.282113+00:00,2026-05-06T23:44:50.051812+00:00,KXBTC15M-26MAY061945-45,yes,26.0,0.0,2.0,0.0,-28.0,-0.28,settlement_after_tape,True,419.77,25.0,55.0,480.0,17.9663,25.684486,50.2023,-25.7023,429.719
2026-05-07T02:27:22.872594+00:00,2026-05-07T02:29:50.052200+00:00,KXBTC15M-26MAY062230-30,yes,29.0,0.0,2.0,0.0,-31.0,-0.31,settlement_after_tape,True,147.18,25.0,55.0,480.0,16.6117,1.945033,47.1926,-19.6926,157.138
2026-05-07T03:23:36.132018+00:00,2026-05-07T03:29:50.090314+00:00,KXBTC15M-26MAY062330-30,yes,3.0,0.0,1.0,0.0,-4.0,-0.04,settlement_after_tape,True,373.958,25.0,55.0,480.0,19.1886,2.539912,52.7007,-51.2007,383.869
