pt_cents,sl_cents,trades,skipped,total_net_pnl_dollars,actual_net_pnl_dollars,delta_vs_actual_dollars,mean_net_pnl_dollars,std_net_pnl_dollars,sharpe_like,wins,losses,win_rate,exit_count,settlement_count,exit_rate,avg_hold_seconds
15,47,85,0,-1.9,-6.64,4.74,-0.022353,0.660035,-0.033866,36,49,0.4235,37,48,0.4353,291.99
6,52,85,0,-1.9,-6.64,4.74,-0.022353,0.515215,-0.043386,43,42,0.5059,43,42,0.5059,232.0
6,53,85,0,-1.9,-6.64,4.74,-0.022353,0.515215,-0.043386,43,42,0.5059,43,42,0.5059,232.0
6,54,85,0,-1.9,-6.64,4.74,-0.022353,0.515215,-0.043386,43,42,0.5059,43,42,0.5059,232.0
16,42,85,0,-1.91,-6.64,4.73,-0.022471,0.645027,-0.034837,35,50,0.4118,37,48,0.4353,291.3
16,43,85,0,-1.91,-6.64,4.73,-0.022471,0.645027,-0.034837,35,50,0.4118,37,48,0.4353,291.3
20,22,85,0,-1.91,-6.64,4.73,-0.022471,0.556528,-0.040376,29,56,0.3412,35,50,0.4118,281.23
17,21,85,0,-1.91,-6.64,4.73,-0.022471,0.538799,-0.041705,30,55,0.3529,36,49,0.4235,265.08
29,57,85,0,-1.92,-6.64,4.72,-0.022588,0.767083,-0.029447,34,51,0.4,17,68,0.2,365.36
30,57,85,0,-1.92,-6.64,4.72,-0.022588,0.767083,-0.029447,34,51,0.4,17,68,0.2,365.36
31,57,85,0,-1.92,-6.64,4.72,-0.022588,0.767083,-0.029447,34,51,0.4,17,68,0.2,365.36
32,57,85,0,-1.92,-6.64,4.72,-0.022588,0.767083,-0.029447,34,51,0.4,17,68,0.2,365.36
33,57,85,0,-1.92,-6.64,4.72,-0.022588,0.767083,-0.029447,34,51,0.4,17,68,0.2,365.36
15,48,85,0,-1.92,-6.64,4.72,-0.022588,0.660392,-0.034204,36,49,0.4235,37,48,0.4353,291.99
17,28,85,0,-1.92,-6.64,4.72,-0.022588,0.591578,-0.038183,32,53,0.3765,36,49,0.4235,280.19
19,63,85,0,-1.93,-6.64,4.71,-0.022706,0.751846,-0.0302,36,49,0.4235,29,56,0.3412,322.18
36,13,85,0,-1.93,-6.64,4.71,-0.022706,0.500765,-0.045342,24,61,0.2824,32,53,0.3765,278.1
23,12,85,0,-1.93,-6.64,4.71,-0.022706,0.490877,-0.046256,24,61,0.2824,38,47,0.4471,247.35
16,13,85,0,-1.93,-6.64,4.71,-0.022706,0.478279,-0.047474,27,58,0.3176,42,43,0.4941,234.67
18,55,85,0,-1.94,-6.64,4.7,-0.022823,0.719371,-0.031727,36,49,0.4235,33,52,0.3882,307.85
18,33,85,0,-1.94,-6.64,4.7,-0.022823,0.623988,-0.036577,33,52,0.3882,36,49,0.4235,284.65
19,13,85,0,-1.94,-6.64,4.7,-0.022823,0.484607,-0.047097,26,59,0.3059,40,45,0.4706,241.36
8,58,85,0,-1.95,-6.64,4.69,-0.022941,0.602814,-0.038057,40,45,0.4706,39,46,0.4588,260.06
6,55,85,0,-1.95,-6.64,4.69,-0.022941,0.517201,-0.044356,43,42,0.5059,43,42,0.5059,232.01
6,56,85,0,-1.95,-6.64,4.69,-0.022941,0.517201,-0.044356,43,42,0.5059,43,42,0.5059,232.01
34,13,85,0,-1.95,-6.64,4.69,-0.022941,0.500445,-0.045842,24,61,0.2824,32,53,0.3765,278.1
35,13,85,0,-1.95,-6.64,4.69,-0.022941,0.500445,-0.045842,24,61,0.2824,32,53,0.3765,278.1
18,12,85,0,-1.95,-6.64,4.69,-0.022941,0.475942,-0.048202,26,59,0.3059,43,42,0.5059,224.45
14,22,85,0,-1.97,-6.64,4.67,-0.023176,0.530654,-0.043675,31,54,0.3647,39,46,0.4588,263.97
22,17,85,0,-1.97,-6.64,4.67,-0.023176,0.516354,-0.044885,26,59,0.3059,33,52,0.3882,278.38
29,58,85,0,-1.98,-6.64,4.66,-0.023294,0.76875,-0.030301,34,51,0.4,17,68,0.2,365.37
30,58,85,0,-1.98,-6.64,4.66,-0.023294,0.76875,-0.030301,34,51,0.4,17,68,0.2,365.37
31,58,85,0,-1.98,-6.64,4.66,-0.023294,0.76875,-0.030301,34,51,0.4,17,68,0.2,365.37
32,58,85,0,-1.98,-6.64,4.66,-0.023294,0.76875,-0.030301,34,51,0.4,17,68,0.2,365.37
33,58,85,0,-1.98,-6.64,4.66,-0.023294,0.76875,-0.030301,34,51,0.4,17,68,0.2,365.37
25,56,85,0,-1.98,-6.64,4.66,-0.023294,0.756918,-0.030775,34,51,0.4,19,66,0.2235,360.12
6,57,85,0,-1.98,-6.64,4.66,-0.023294,0.518416,-0.044933,43,42,0.5059,43,42,0.5059,232.01
28,57,85,0,-1.99,-6.64,4.65,-0.023412,0.766183,-0.030556,34,51,0.4,18,67,0.2118,363.07
18,15,85,0,-1.99,-6.64,4.65,-0.023412,0.488653,-0.047911,27,58,0.3176,37,48,0.4353,252.34
18,34,85,0,-2.0,-6.64,4.64,-0.023529,0.624831,-0.037657,33,52,0.3882,36,49,0.4235,284.8
22,14,85,0,-2.0,-6.64,4.64,-0.023529,0.499787,-0.047079,25,60,0.2941,37,48,0.4353,267.32
20,71,85,0,-2.01,-6.64,4.63,-0.023647,0.779955,-0.030318,36,49,0.4235,25,60,0.2941,331.27
20,72,85,0,-2.01,-6.64,4.63,-0.023647,0.779955,-0.030318,36,49,0.4235,25,60,0.2941,331.27
10,56,85,0,-2.01,-6.64,4.63,-0.023647,0.624658,-0.037856,39,46,0.4588,38,47,0.4471,273.67
37,17,85,0,-2.01,-6.64,4.63,-0.023647,0.52676,-0.044891,25,60,0.2941,26,59,0.3059,297.48
18,18,85,0,-2.01,-6.64,4.63,-0.023647,0.506187,-0.046716,28,57,0.3294,36,49,0.4235,255.61
6,41,85,0,-2.01,-6.64,4.63,-0.023647,0.477042,-0.04957,42,43,0.4941,43,42,0.5059,225.46
1,44,85,0,-2.01,-6.64,4.63,-0.023647,0.345274,-0.068488,31,50,0.3647,52,33,0.6118,175.15
13,64,85,0,-2.02,-6.64,4.62,-0.023765,0.710375,-0.033454,38,47,0.4471,36,49,0.4235,289.23
9,66,85,0,-2.02,-6.64,4.62,-0.023765,0.653968,-0.036339,40,45,0.4706,35,50,0.4118,271.78
9,67,85,0,-2.02,-6.64,4.62,-0.023765,0.653968,-0.036339,40,45,0.4706,35,50,0.4118,271.78
9,68,85,0,-2.02,-6.64,4.62,-0.023765,0.653968,-0.036339,40,45,0.4706,35,50,0.4118,271.78
9,69,85,0,-2.02,-6.64,4.62,-0.023765,0.653968,-0.036339,40,45,0.4706,35,50,0.4118,271.78
9,70,85,0,-2.02,-6.64,4.62,-0.023765,0.653968,-0.036339,40,45,0.4706,35,50,0.4118,271.78
9,71,85,0,-2.02,-6.64,4.62,-0.023765,0.653968,-0.036339,40,45,0.4706,35,50,0.4118,271.78
9,72,85,0,-2.02,-6.64,4.62,-0.023765,0.653968,-0.036339,40,45,0.4706,35,50,0.4118,271.78
20,23,85,0,-2.03,-6.64,4.61,-0.023882,0.558538,-0.042759,29,56,0.3412,35,50,0.4118,281.48
